,idx,Text,assigned_category,model_probability,keywords,reasoning
10,52,"Program Name: Community Connect Grants
Agency: Department of Agriculture
Mission/Purpose: Area and regional development
Program Description: The Community Connect provides financial assistance to eligible applicants that will provide broadband service in rural, economically-challenged communities where service does not exist
Recipients: Nonprofit with 501(c)(3) Status; For-Profit Organization; Indian/Native American Tribal Government; Public/State Controlled Institution
Beneficiaries: State; Sponsored Organization; Other public institution/organization; Local",Broadband,1.0,"['provides financial assistance', 'provide broadband service', 'rural, economically-challenged communities', 'service does not exist']","The program description mentions that it provides financial assistance to eligible applicants that will provide broadband service in rural, economically-challenged communities where service does not exist. This aligns with the definition of the 'Broadband' category, which includes programs that support broadband infrastructure deployment and broadband adoption/digital inclusion activities, especially in areas where broadband is not yet available."
11,54,"Program Name: Distance Learning, Telemedicine Grants
Agency: Department of Agriculture
Mission/Purpose: Area and regional development
Program Description: This program assists rural schools and learning centers to gain access to improved educational resources and assist rural hospitals and health care centers to gain access to improved medical resources.  Distance learning projects provide funding for Internet-based educational services in schools and libraries and promote confidence in, and understanding of, the Internet and its benefits to students and young entrepreneurs.
Recipients: Indian/Native American Tribal Government; Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia); Foreign Non-Governmental Entity
Beneficiaries: Interstate; Public nonprofit institution/organization; State; Other private institution/ organization; Sponsored Organization; Federal; Other public institution/organization",Broadband,0.8,"['This program assists rural schools and learning centers to gain access to improved educational resources', 'assist rural hospitals and health care centers to gain access to improved medical resources', 'Distance learning projects provide funding for Internet-based educational services in schools and libraries', 'promote confidence in, and understanding of, the Internet and its benefits to students and young entrepreneurs']","['The program is designed to improve access to educational and medical resources in rural areas, which implies the use of broadband infrastructure.', 'The program provides funding for Internet-based educational services, which requires high-speed Internet access, a key feature of broadband.', 'The program aims to promote understanding and confidence in the use of the Internet, which aligns with the concept of digital inclusion in the broadband category definition.']"
12,65,"Program Name: FSWO OTR grants and agreements and materials and supplies
Agency: Department of Agriculture
Mission/Purpose: Conservation and land management
Program Description: Facilitate consistency and effectiveness in Forest Service program delivery to Tribes, and to institutionalize long-term consultative and collaborative relationships with tribal governments through new policy and direction.
Recipients: Indian/Native American Tribal Government
Beneficiaries: Federally Recognized Indian Tribal Governments; American Indian; Native American Organizations",,0.0,[],"The program description does not mention any activities related to broadband infrastructure deployment, broadband adoption/digital inclusion activities, state/local broadband planning and deployment efforts, broadband availability mapping, training and/or technical assistance. The program is focused on conservation and land management, and collaboration with tribal governments, which does not align with the 'Broadband' category definition."
13,67,"Program Name: Hall Mountain Phase 2 Community Forest Program
Agency: Department of Agriculture
Mission/Purpose: Conservation and land management
Program Description: Community Forest Program grant to the Eastern Band of the Cherokee Indians for  the Hall Mountain Community Forest.
Recipients: Indian/Native American Tribal Government
Beneficiaries: Federally Recognized Indian Tribal Governments; American Indian; Native American Organizations",,0.0,[],"The program description does not mention any activities related to broadband infrastructure deployment, broadband adoption/digital inclusion activities, state/local broadband planning and deployment efforts, broadband availability mapping, training and/or technical assistance. The program is focused on conservation and land management, which does not align with the definition of the 'Broadband' category."
14,71,"Program Name: Land Use Authorization and Access  - Program
Agency: Department of Agriculture
Mission/Purpose: Conservation and land management
Program Description: This  program ensures the productive and sustainable use of National Forest System lands for rural and national infrastructure and lays the foundation for all land and natural resource management activities on National Forest System lands. The overarching program and budget line item go beyond just broadband; the information contained here reflects the program's entire BLI and goes beyond just what is allowed for broadband.
Recipients: U.S. Federal Government
Beneficiaries: Anyone/General public",Broadband,0.4,"['productive and sustainable use of National Forest System lands for rural and national infrastructure', 'lays the foundation for all land and natural resource management activities', 'goes beyond just broadband']","The program description mentions the use of National Forest System lands for rural and national infrastructure, which could potentially include broadband infrastructure. It also mentions that the program goes beyond just broadband, implying that broadband is a part of the program. However, the primary focus of the program seems to be on conservation and land management, not specifically on broadband infrastructure or adoption."
15,79,"Program Name: ReConnect Program Grants
Agency: Department of Agriculture
Mission/Purpose: Area and regional development
Program Description: This program’s purpose is to conduct a new broadband loan and grant pilot program  to fund broadband capable infrastructure in rural communities where at least 90 percent of the households to be served are without sufficient access to broadband, defined for this pilot program as 10 Megabits per second (Mbps) downstream, and 1 Mbps upstream, provided that funds shall not be used to overbuild or duplicate broadband expansion efforts of any entity that has received a broadband loan from RUS.
Recipients: Indian/Native American Tribal Government; For-Profit Organization; Nonprofit with 501(c)(3) Status; Private Educational Institution, For Profit
Beneficiaries: Intrastate; State; Public nonprofit institution/organization",Broadband,1.0,"['broadband loan and grant pilot program', 'fund broadband capable infrastructure', 'rural communities', 'without sufficient access to broadband', '10 Megabits per second (Mbps) downstream, and 1 Mbps upstream', 'broadband expansion efforts']","[""The program description mentions a 'broadband loan and grant pilot program', which aligns with the 'Broadband' category's support for broadband infrastructure deployment."", ""The program aims to 'fund broadband capable infrastructure', which is a key aspect of the 'Broadband' category."", ""The program targets 'rural communities', which is a common focus for broadband deployment efforts."", ""The program is designed for areas 'without sufficient access to broadband', which suggests it is aimed at increasing broadband availability, a key aspect of the 'Broadband' category."", ""The program specifies a minimum broadband speed, which aligns with the 'Broadband' category's focus on high-speed Internet access."", ""The program mentions 'broadband expansion efforts', which suggests it is aimed at increasing broadband adoption, another key aspect of the 'Broadband' category.""]"
16,80,"Program Name: ReConnect Program Loans
Agency: Department of Agriculture
Mission/Purpose: Area and regional development
Program Description: This program’s purpose is to conduct a new broadband loan and grant pilot program  to fund broadband capable infrastructure in rural communities where at least 90 percent of the households to be served are without sufficient access to broadband, defined for this pilot program as 10 Megabits per second (Mbps) downstream, and 1 Mbps upstream, provided that funds shall not be used to overbuild or duplicate broadband expansion efforts of any entity that has received a broadband loan from RUS.
Recipients: Indian/Native American Tribal Government; For-Profit Organization; Nonprofit with 501(c)(3) Status; Private Educational Institution, For Profit
Beneficiaries: Intrastate; State; Public nonprofit institution/organization",Broadband,1.0,"['broadband loan and grant pilot program', 'fund broadband capable infrastructure', 'rural communities', 'without sufficient access to broadband', '10 Megabits per second (Mbps) downstream, and 1 Mbps upstream', 'broadband expansion efforts', 'broadband loan from RUS']","The program description mentions several key phrases and terms that align with the 'Broadband' category definition. It talks about a broadband loan and grant program, which is a clear indication of support for broadband infrastructure deployment. The program is aimed at rural communities that lack sufficient access to broadband, which aligns with the concept of digital inclusion. The specific mention of broadband speeds also indicates that this program is about high-speed internet access. Furthermore, the mention of 'broadband expansion efforts' and 'broadband loan from RUS' further solidifies the connection to the 'Broadband' category."
17,86,"Program Name: Rural Cooperative Development Grants
Agency: Department of Agriculture
Mission/Purpose: Community development
Program Description: The Rural Cooperative Development Grant program improves the economic condition of rural areas by helping individuals and businesses start, expand or improve rural cooperatives and other mutually-owned businesses through Cooperative Development Centers. Grants are awarded through a national competition.
Recipients: Nonprofit with 501(c)(3) Status
Beneficiaries: Small Business Person; Small Business; Other private institution/ organization",,0.0,[],"The program description for 'Rural Cooperative Development Grants' does not mention any activities related to broadband infrastructure deployment, broadband adoption/digital inclusion activities, state/local broadband planning and deployment efforts, broadband availability mapping, training and/or technical assistance. The program is focused on improving the economic condition of rural areas by helping individuals and businesses start, expand or improve rural cooperatives and other mutually-owned businesses, which does not align with the 'Broadband' category definition."
18,113,"Program Name: Broadband Programs - Contractor Services
Agency: Department of Commerce
Mission/Purpose: Other advancement of commerce
Program Description: NTIA is engaged in a range of efforts to increase broadband Internet access and adoption in America through its BroadbandUSA program that serves communities, industry, and nonprofits that want to expand broadband infrastructure and promote digital inclusion. BroadbandUSA’s services focus on state and local planning efforts, technical assistance, and trainings. NTIA also conducts research and analysis into broadband usage and adoption through our Digital Nation initiative. Through this Broadband Program, NTIA is also developing the National Broadband Availability Map (NBAM) which uses data from available third party datasets and data from state, local and tribal governments, owners and operators of broadband networks, educational institutions, nonprofits, and cooperatives.
Recipients: For-Profit Organization
Beneficiaries: Federal; Native American Organizations; Anyone/General public; Other private institution/ organization; Quasi-public nonprofit organization; Private nonprofit institution/organization; Profit Organization; Small Business; Minority Groups; U.S. Territories; Federally Recognized Indian Tribal Governments; Other public institution/organization; Public nonprofit institution/organization; Local; State; Interstate; Intrastate",Broadband,1.0,"['Broadband Programs', 'increase broadband Internet access and adoption', 'BroadbandUSA program', 'expand broadband infrastructure', 'promote digital inclusion', 'state and local planning efforts', 'technical assistance', 'trainings', 'research and analysis into broadband usage and adoption', 'Digital Nation initiative', 'National Broadband Availability Map', 'data from state, local and tribal governments, owners and operators of broadband networks']","The program description contains multiple references to broadband, including the program name itself. It mentions efforts to increase broadband access and adoption, which aligns with the category definition. The program also involves state and local planning efforts, technical assistance, and trainings, which are mentioned in the category definition. The program's focus on expanding broadband infrastructure and promoting digital inclusion also matches the category definition. Furthermore, the program is developing a National Broadband Availability Map, which is a type of broadband availability mapping mentioned in the category definition. Finally, the program conducts research and analysis into broadband usage and adoption, which is another aspect of the category definition."
19,114,"Program Name: Broadband Programs - Federal Pay and Benefits
Agency: Department of Commerce
Mission/Purpose: Other advancement of commerce
Program Description: NTIA is engaged in a range of efforts to increase broadband Internet access and adoption in America through its BroadbandUSA program that serves communities, industry, and nonprofits that want to expand broadband infrastructure and promote digital inclusion. BroadbandUSA’s services focus on state and local planning efforts, technical assistance, and trainings. NTIA also conducts research and analysis into broadband usage and adoption through our Digital Nation initiative. Through this Broadband Program, NTIA is also developing the National Broadband Availability Map (NBAM) which uses data from available third party datasets and data from state, local and tribal governments, owners and operators of broadband networks, educational institutions, nonprofits, and cooperatives.
Recipients: Individual
Beneficiaries: Federal; Native American Organizations; Anyone/General public; Other private institution/ organization; Quasi-public nonprofit organization; Private nonprofit institution/organization; Profit Organization; Small Business; Minority Groups; U.S. Territories; Federally Recognized Indian Tribal Governments; Other public institution/organization; Public nonprofit institution/organization; Local; State; Interstate; Intrastate",Broadband,1.0,"['increase broadband Internet access and adoption', 'BroadbandUSA program', 'expand broadband infrastructure', 'promote digital inclusion', 'state and local planning efforts', 'technical assistance', 'trainings', 'research and analysis into broadband usage and adoption', 'Digital Nation initiative', 'National Broadband Availability Map', 'data from state, local and tribal governments', 'owners and operators of broadband networks']","The program description mentions several key aspects that align with the 'Broadband' category definition. It talks about increasing broadband Internet access and adoption, which is a key aspect of the category definition. The BroadbandUSA program aims to expand broadband infrastructure and promote digital inclusion, both of which are mentioned in the category definition. The program also involves state and local planning efforts, technical assistance, and trainings, which are all activities supported by broadband programs. The program's research and analysis into broadband usage and adoption, as well as the development of the National Broadband Availability Map, further align with the category definition. Therefore, based on these clues, it is reasonable to categorize this program under the 'Broadband' category."
20,115,"Program Name: Broadband Programs - Other Direct Federal Spending
Agency: Department of Commerce
Mission/Purpose: Other advancement of commerce
Program Description: NTIA is engaged in a range of efforts to increase broadband Internet access and adoption in America through its BroadbandUSA program that serves communities, industry, and nonprofits that want to expand broadband infrastructure and promote digital inclusion. BroadbandUSA’s services focus on state and local planning efforts, technical assistance, and trainings. NTIA also conducts research and analysis into broadband usage and adoption through our Digital Nation initiative. Through this Broadband Program, NTIA is also developing the National Broadband Availability Map (NBAM) which uses data from available third party datasets and data from state, local and tribal governments, owners and operators of broadband networks, educational institutions, nonprofits, and cooperatives.
Recipients: U.S. Federal Government
Beneficiaries: Federal; Native American Organizations; Anyone/General public; Other private institution/ organization; Quasi-public nonprofit organization; Private nonprofit institution/organization; Profit Organization; Minority Groups; U.S. Territories; Federally Recognized Indian Tribal Governments; Other public institution/organization; Public nonprofit institution/organization; Local; State; Interstate; Intrastate",Broadband,1.0,"['increase broadband Internet access and adoption', 'BroadbandUSA program', 'expand broadband infrastructure', 'promote digital inclusion', 'state and local planning efforts', 'technical assistance', 'trainings', 'research and analysis into broadband usage and adoption', 'Digital Nation initiative', 'National Broadband Availability Map', 'data from state, local and tribal governments, owners and operators of broadband networks']","[""The program description mentions the increase of broadband Internet access and adoption, which aligns with the definition of the 'Broadband' category."", 'The BroadbandUSA program is mentioned, which is focused on expanding broadband infrastructure and promoting digital inclusion.', ""The program supports state and local planning efforts, technical assistance, and trainings, which are activities mentioned in the 'Broadband' category definition."", ""The program conducts research and analysis into broadband usage and adoption, which is a key aspect of the 'Broadband' category."", ""The development of the National Broadband Availability Map and the use of data from various sources, including broadband networks, aligns with the 'Broadband' category definition.""]"
21,118,"Program Name: Coastal Zone Management and Services
Agency: Department of Commerce
Mission/Purpose: Other natural resources
Program Description: While NOAA and other Federal agencies possess significant science and data capabilities to support coastal resource management, most decisions that affect the resilience of coastal communities occur at state and local levels. NOAA makes its significant scientific expertise and data capabilities available to state and local decision-makers through Coastal Zone Management and Services.
Recipients: Individual
Beneficiaries: Local; Interstate; Intrastate; U.S. Territories; State",,0.0,[],"The program description for 'Coastal Zone Management and Services' does not contain any keywords, phrases, or contextual information that align with the 'Broadband' category definition. The program is focused on coastal resource management and providing scientific expertise and data to state and local decision-makers, which does not involve broadband infrastructure deployment, broadband adoption/digital inclusion activities, or any related high-speed Internet access technologies."
22,119,"Program Name: Economic Development Assistance Programs
Agency: Department of Commerce
Mission/Purpose: Area and regional development
Program Description: Guided by the basic principle that sustainable economic development should be locally-driven, the Economic Development Administration (EDA) works directly with communities and regions to help them build the capacity for economic development based on local business conditions and needs. EDA’s grant investments are designed to leverage existing regional assets to support the implementation of economic development strategies that make it easier for businesses to start and grow. These grants are competitive in nature.
Recipients: U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government
Beneficiaries: State; Native American Organizations; Private nonprofit institution/organization; U.S. Territories; Other public institution/organization; Public nonprofit institution/organization; Local",Broadband,0.0,[],"The program description does not mention any activities related to broadband infrastructure deployment, broadband adoption/digital inclusion activities, state/local broadband planning and deployment efforts, broadband availability mapping, training and/or technical assistance. The program is focused on economic development and does not mention any high-speed transmission technologies, such as fiber, wireless, satellite, digital subscriber line, and cable. There is no mention of broadband adoption or digital inclusion."
23,120,"Program Name: Enforcement
Agency: Department of Commerce
Mission/Purpose: Other natural resources
Program Description: NOAA’s Office of Law Enforcement (OLE) protects and monitors the world’s largest EEZ including 13 National Marine Sanctuaries and five Marine National Monuments, and is the only conservation enforcement program (Federal or state) exclusively dedicated to Federal fisheries and marine resource enforcement.
Recipients: U.S. Federal Government
Beneficiaries: State; Local",,0.0,[],"The program description does not mention any activities related to broadband infrastructure deployment, broadband adoption/digital inclusion activities, state/local broadband planning and deployment efforts, broadband availability mapping, training and/or technical assistance. The program is focused on law enforcement and protection of marine resources, which does not align with the definition of the 'Broadband' category."
24,121,"Program Name: First Responder Network Authority (FirstNet) - Contractor Services
Agency: Department of Commerce
Mission/Purpose: Other advancement of commerce
Program Description: The First Responder Network Authority is an independent authority with the U.S. Department of Commerce.  Chartered in 2012, its mission is to ensure the building, deploying, and operation of the nationwide broadband network that equips first responders to save lives and protect U.S. communities.
Recipients: For-Profit Organization
Beneficiaries: Federal; Native American Organizations; Specialized group (e.g. health professionals, students, veterans); U.S. Territories; Federally Recognized Indian Tribal Governments; Local; State; Interstate; Intrastate",Broadband,0.9,"['nationwide broadband network', 'building, deploying, and operation', 'First Responder Network Authority', 'U.S. Department of Commerce']","The program description mentions the building, deploying, and operation of a nationwide broadband network. This aligns with the definition of the 'Broadband' category, which includes programs that support broadband infrastructure deployment. Furthermore, the program is run by the First Responder Network Authority, which is a part of the U.S. Department of Commerce, indicating that it is a federal program related to broadband."
25,122,"Program Name: First Responder Network Authority (FirstNet) - Federal Pay and Benefits
Agency: Department of Commerce
Mission/Purpose: Other advancement of commerce
Program Description: The First Responder Network Authority is an independent authority with the U.S. Department of Commerce.  Chartered in 2012, its mission is to ensure the building, deploying, and operation of the nationwide broadband network that equips first responders to save lives and protect U.S. communities.
Recipients: Individual
Beneficiaries: Native American Organizations; Federal; Specialized group (e.g. health professionals, students, veterans); U.S. Territories; Federally Recognized Indian Tribal Governments; State; Interstate; Intrastate",Broadband,0.9,"['nationwide broadband network', 'building, deploying, and operation', 'equips first responders']","The program description mentions the building, deploying, and operation of a nationwide broadband network. This aligns with the category definition of supporting broadband infrastructure deployment. Furthermore, the program is designed to equip first responders, which implies a form of broadband adoption and digital inclusion, as these individuals and communities will have access to robust broadband connections."
26,123,"Program Name: First Responder Network Authority (FirstNet) - Other Direct Federal Spending
Agency: Department of Commerce
Mission/Purpose: Other advancement of commerce
Program Description: The First Responder Network Authority is an independent authority with the U.S. Department of Commerce.  Chartered in 2012, its mission is to ensure the building, deploying, and operation of the nationwide broadband network that equips first responders to save lives and protect U.S. communities.
Recipients: Individual
Beneficiaries: Federal; Native American Organizations; Specialized group (e.g. health professionals, students, veterans); U.S. Territories; Federally Recognized Indian Tribal Governments; Local; State; Interstate; Intrastate",Broadband,0.9,"['nationwide broadband network', 'building, deploying, and operation', 'First Responder Network Authority', 'U.S. Department of Commerce']","The program description mentions the building, deploying, and operation of a nationwide broadband network. This aligns with the definition of the 'Broadband' category, which includes programs that support broadband infrastructure deployment. Furthermore, the program is run by the First Responder Network Authority, which is a part of the U.S. Department of Commerce, indicating that it is a federal program related to broadband."
27,133,"Program Name: Marine Sanctuary Construction Base
Agency: Department of Commerce
Mission/Purpose: Other natural resources
Program Description: NOAA serves as the trustee for a system of 13 national marine sanctuaries and two marine national monuments. T
Recipients: Individual
Beneficiaries: State; Local",,0.0,[],"The program description does not mention any activities related to broadband infrastructure deployment, broadband adoption/digital inclusion activities, state/local broadband planning and deployment efforts, broadband availability mapping, training and/or technical assistance. The program is about marine sanctuary construction, which does not seem to be related to broadband or digital inclusion."
28,138,"Program Name: NIST Graduate Student Measurement Science and Engineering (GMSE) Fellowship Program
Agency: Department of Commerce
Mission/Purpose: General science and basic research
Program Description: The NIST GMSE fellowship program provides doctoral-level graduate students with opportunities and financial assistance to obtain laboratory experience within the NIST laboratories in the Science, technology, engineering and mathematics (STEM) disciplines related to NIST mission-research. The program is administered through the National Physical Science Consortium (NPSC).
Recipients: Nonprofit with 501(c)(3) Status
Beneficiaries: Graduate Student",,0.0,[],"The program description does not contain any keywords or phrases related to broadband infrastructure, broadband adoption, digital inclusion, high-speed internet access, or any of the high-speed transmission technologies. The program is focused on providing doctoral-level graduate students with opportunities and financial assistance to obtain laboratory experience within the NIST laboratories in the STEM disciplines related to NIST mission-research."
